OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice,Month,Year
REC-433923,8141,Biscuit soja orange,Gerbl,Subjective,France,2024-12-17,5.38,December,2024
REC-374982,7072,Sablés Anglais L'Original,McVitiesUnited Biscuits,400 g,France,2024-11-30,19.09,November,2024
REC-833121,6028,Excellence Noir Corsé 78% Cacao,Lindt,100 g,Australia,2025-04-28,23.01,April,2025
REC-484365,9681,Картофельные чипсы со вкусом парики,PringlesKelloggs,165g,Bulgaria,2024-02-07,2.12,February,2024
REC-204232,8249,Brioche moins de sucre,Harrys,485 g,France,2025-04-30,8.89,April,2025
REC-942651,12158,Chocolat monogram,Macao,Subjective,Mexico,2025-07-25,3.33,July,2025
REC-818095,14040,Lentil and Pea Cakes with Beetroot and Balsamic Flavour Seasoning,kallo,122 g,United Kingdom,2025-02-09,7.77,February,2025
REC-553814,14094,Pringles Original,Kelloggs Pringles,165g,Belgium,2025-07-04,3.36,July,2025
REC-996953,5970,Fourrés Chocolat au Lait,Bjorg,225 g,France,2024-07-18,11.61,July,2024
REC-767742,12401,Pringles,Notknown,40g,Belgium,2024-02-25,22.67,February,2024
REC-946193,10839,G C OR NOIR NOISETTE,Cte DOr Mondelez,180 g,Algeria,2025-02-17,9.67,February,2025
REC-991303,7760,Barres de fruits secs & noix Myrtilles,nakd,140 g,Belgium,2024-09-05,3.46,September,2024
REC-562005,6118,Tagger,Bimo,22g,Morocco,2024-08-08,3.95,August,2024
REC-802740,13691,Goûter 4S Saveur pommes,Gerbl,360 g,France,2024-03-11,10.68,March,2024
REC-723751,14512,Wheat Biscuits,Tesco,n.48 - 912g,United Kingdom,2025-11-29,8.66,November,2025
REC-379767,11844,Protein Cocoa Hazelnut Bars,NakdNatural Balance Foods,135 g,Belgium,2024-10-12,1.55,October,2024
REC-994160,11794,Thé - Biscuits,Lu,350 g ℮,France,2025-04-07,2.33,April,2025
REC-607612,8211,Petites Madeleines,St Michel,500 g,France,2025-06-25,7.44,June,2025
REC-331169,9169,Goûter pépites de chocolat,Notknown,"3 sachets de 4 biscuits, 250g",Belgium,2025-09-28,1.01,September,2025
REC-130025,8900,Sea salt & cider vinegar chips,Notknown,150 g,France,2024-10-10,17.32,October,2024
REC-219484,5608,Príncipe crema de chocolate,LUMondelz,300 g 15.5,France,2025-03-21,14.49,March,2025
REC-480927,14848,Kinder bueno White,Kinder,39 g,Belgium,2025-09-21,19.57,September,2025
REC-699692,14144,Sea Salt Lentil Chips,Proper Chips,Subjective,United Kingdom,2025-05-25,23.12,May,2025
REC-392540,6866,Napolitain l'Original,LU Mondelez Mondelez International,180 g (6 x 30 g,France,2025-11-10,24.73,November,2025
REC-958052,13313,Petits fours financiers,Notknown,500 g,France,2025-09-29,12.77,September,2025
REC-151159,12792,Biscuits pavot citron,Gerbl,200 g,France,2025-10-20,11.76,October,2025
REC-287331,14177,The Original Crunchy Rye Breads,Ryvita,250 g,United Kingdom,2026-01-18,17.49,January,2026
REC-904456,7274,Pringles Original,Notknown,165g,Belgium,2025-09-15,4.56,September,2025
REC-561658,8242,Blueberry Muffin Myrtilles,nakd,4 x 35g,France,2024-05-16,5.74,May,2024
REC-884876,8901,merendina big,bimo,52g,Morocco,2025-05-21,8.14,May,2025
REC-221353,9692,Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,440 g,Belgium,2024-04-04,21.53,April,2024
REC-279860,11879,Véritable Petit Écolier Chocolat au Lait,Notknown,150 g (12x 12.5 g) e,Algeria,2025-11-09,11.82,November,2025
REC-996817,10003,Galletas fibra zero azúcares,Gulln,170 g,Portugal,2024-09-27,13.03,September,2024
REC-407433,13728,Belvita Petit Déjeuner Chocolat,LUMondelez,Subjective,Belgium,2025-01-16,2.77,January,2025
REC-160782,9873,Caramelised popcorn seasoned with sea salt,Proper,28 gram,Belgium,2024-08-02,4.7,August,2024
REC-221530,8033,Edelbitter Mild,Notknown,125g,Belgium,2025-08-23,2.26,August,2025
REC-183716,12748,Véritable Petit Beurre Pocket,lu,300 g,Belgium,2025-11-15,11.48,November,2025
REC-878584,11980,Chips de lentilles saveur fines herbes,Notknown,85 g,France,2025-07-31,1.81,July,2025
REC-777037,13194,Chocolat noir Equateur Bio,JD Gross,100 g,France,2024-09-16,7.37,September,2024
REC-762689,9488,Biscuit complet au germe de blé,Gerbl,210 g,France,2024-05-10,3.33,May,2024
REC-789279,9528,Milka galette choco,LU Milka,260 g,France,2025-05-23,12.59,May,2025
REC-188975,5634,Multigrain Crispbread,RYVITA,250 g,France,2025-10-15,23.74,October,2025
REC-476256,8438,Tartines craquantes sarrasin,Cral Bio,145 g,France,2025-03-16,12.31,March,2025
REC-337130,14724,Excellence Noir à la Pointe de Fleur de Sel,Lindt,100 g (10 carrés,France,2025-01-07,13.22,January,2025
REC-415413,5434,NAKD Cacahuètes - 140g (4x1p,NakdNatural Balance Foods,140 g,Belgium,2025-04-14,12.23,April,2025
REC-599217,6506,Cream Crackers,Notknown,300 g,France,2026-01-10,14.86,January,2026
REC-563059,5998,Pistaches de Californie,Alesto Lidl,Subjective,Belgium,2024-12-13,13.4,December,2024
REC-294785,13490,Organic Crisp Bread,DR KARGS,Subjective,France,2024-05-02,6.38,May,2024
REC-693740,12990,Brioche Tranchée Recette Classique,Harrys,485 g,France,2024-03-09,21.83,March,2024
REC-760615,11250,Véritable Petit Beurre,Lu,Subjective,France,2026-01-20,15.12,January,2026
REC-195486,11785,"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g",Notknown,150 g ℮,Belgium,2025-02-24,6.11,February,2025
REC-516677,9726,Cheese Oatcakes,nairns,200 g,France,2024-10-28,11.21,October,2024
REC-146982,12015,Dark Chocolate,Fin Carr,100g,Finland,2026-01-29,17.47,January,2026
REC-239925,12675,Wholegrain Wheat Bixies,Crownfield  Lidl,720g - 36,Ireland,2025-01-18,9.7,January,2025
REC-109693,9652,Granola LU,LU,184g,France,2024-10-18,1.26,October,2024
REC-176522,5950,Sour Cream & Onion chips,Pringles,185g,France,2025-09-29,11.05,September,2025
REC-145901,9071,Belvita Brut & 5 céréales complètes,Lu,400 gram,Belgium,2024-07-18,24.59,July,2024
REC-360302,11499,Chocolate negro 95% cacao,J D Gross,125 g,France,2026-01-08,2.66,January,2026
REC-633933,10355,Goûter aux raisins,Gerbl,360 g,Belgium,2024-03-28,8.33,March,2024
REC-187987,6562,Pringles sour cream & onion,PringlesKelloggs,40g,Austria,2024-10-22,23.61,October,2024
REC-307690,13557,Granola L'original Gros éclats de chocolat,GranolaLUMondelez,276 g,France,2025-01-16,5.67,January,2025
REC-921480,8300,Milk Chocolate with Honey and Almond Nougat,Toblerone,100g,Algeria,2024-04-06,22.51,April,2024
REC-715337,14087,Organic Milk Chocolate,Green  Blacks,90 g,United Kingdom,2024-06-17,22.67,June,2024
REC-195153,7641,Noir Extra,Poulain,100 g,France,2026-01-26,23.04,January,2026
REC-550594,9230,Le cookie Chocolat Noisette,Bjorg,200 g,France,2024-06-03,17.62,June,2024
REC-598496,6586,Tonik,Bimo,121 g,France,2025-01-07,21.63,January,2025
REC-825324,7206,Spofy,henrys,50g,France,2024-11-20,16.28,November,2024
REC-734212,9909,Digestive Avena,Hacendado,Subjective,Portugal,2025-08-31,8.32,August,2025
REC-967946,8890,Galettes St Michel au beurre 4X5 - 130g,St michel,130 g,Belgium,2024-05-13,10.36,May,2024
REC-561526,12868,Petit brun extra,BrunMondelez,Subjective,France,2025-12-26,4.41,December,2025
REC-306391,8081,"BN - Casse Croute Biscuits, 375g",BN,400 g,France,2024-10-01,1.85,October,2024
REC-518782,13160,Goûter aux écorces confites,Gerbl,360 g,France,2025-11-15,5.87,November,2025
REC-994456,14348,Шоколад с 6% парченца малини,JD GROSS,125 g,Bulgaria,2024-11-27,13.16,November,2024
REC-245946,5600,Milka Tablette Noisette,Milka Mondelez,100g,Algeria,2025-07-28,18.95,July,2025
REC-986860,14640,Sablé saveur COCO,Gerbl,132 g,Belgium,2025-03-16,13.36,March,2025
REC-253786,8062,Moelleux chocolat,Belvita LU Mondelez International,250 g,Belgium,2024-04-25,16.82,April,2024
REC-908189,12873,Ferrero Rocher,Ferrero,375 g,Algeria,2024-12-23,24.19,December,2024
REC-722929,11952,NOIR DEGUSTATION 70% CARAMEL,J D Gross,125 g,France,2024-08-01,1.32,August,2024
REC-215654,9846,Excellence Noir Délicat Doux 85% Cacao,Lindt EXCELLENCE,100g,Austria,2024-05-21,20.25,May,2024
REC-107243,11322,La Madeleine Pur beurre,Bonne Maman,300 g (12 sachets individuels,France,2025-05-21,16.68,May,2025
REC-662848,7254,Blueberry Muffin raw fruit & nut bar,nkd,35 g,United Kingdom,2024-08-31,20.63,August,2024
REC-184393,14014,OREO ORIGINAL,OREO,154 g,Austria,2024-10-15,13.24,October,2024
REC-317612,6203,Benco Original,Benco,400g,France,2024-12-05,1.14,December,2024
REC-421289,10212,Pringles Sour Cream,PringlesKelloggs,165g,Belgium,2024-04-07,18.43,April,2024
REC-525010,10985,Pelotazos futebolas,Cheetos,32g,France,2024-04-13,2.57,April,2024
REC-958697,8352,"Crunchy Oats and Dark chocolate, 2 Barres de 21 g",Notknown,42 g,Belgium,2025-05-12,9.32,May,2025
REC-312331,6897,Peter's Yard Original Sourdough Crackers,Notknown,Subjective,France,2026-01-25,20.18,January,2026
REC-384172,10530,Cuetara Digesta Light 200G Marie Cookies,Notknown,200g,France,2025-10-20,6.38,October,2025
REC-394564,14380,Cacao,Lactel,39 g,Belgium,2026-01-17,7.07,January,2026
REC-613302,12237,Gingembre saveur citron,Gerbl,132 g,France,2025-11-22,24.85,November,2025
REC-756048,10104,Kinder Country,Kinder Ferrero,211.5 g,Austria,2024-08-18,19.95,August,2024
REC-731114,7998,Sweet & Salty Popcorn,Proper Corn,14g,United Kingdom,2025-09-21,16.02,September,2025
REC-881552,13965,Gocciole classiche pav 500 gr,Pavesi,500 g,Belgium,2025-10-27,17.3,October,2025
REC-687196,7075,Protein Caramel salé Cacahuètes,Nature Valley,"160 g ℮, 4 barres de 40 g",France,2025-08-17,17.22,August,2025
REC-542590,8875,Cocoa - Dark Chocolate,Moser Roth,125 g,United Kingdom,2025-07-01,18.29,July,2025
REC-447906,6547,Noir equitable 85% Pérou,Alter Eco,100 g e,Belgium,2025-07-31,1.22,July,2025
REC-187921,5654,Nutella,FerreroNutella,825g,Germany,2024-07-04,13.84,July,2024
REC-272094,5174,Oatibix,Notknown,24 biscuits,France,2024-07-02,13.15,July,2024
REC-477529,14784,Kinder Cards,FerreroKinder,128 g,Belgium,2025-12-17,10.3,December,2025
REC-563532,9187,Petites Madeleines pépites chocolat,St Michel,400 g,France,2025-08-31,11.68,August,2025
REC-172405,5318,Pains au lait frais Bio 280g,Notknown,280 g,France,2025-02-20,21.26,February,2025
REC-601917,6223,single origin milk chocolate,Marks  Spencer,100g,France,2025-01-06,21.81,January,2025
REC-542762,6066,Petit Cookies Pépites de chocolat,Bonne Maman,250g,Belgium,2024-07-17,5.73,July,2024
REC-600233,8833,Petit écolier chocolat noir pur beurre de cacao,LU,150 g,Canada,2024-08-28,6.15,August,2024
REC-120129,10797,Sweet & salty popcorn,Proper Corn,84g,United Kingdom,2024-05-06,3.61,May,2024
REC-614314,11805,Cocoa Vanilla Oat Boosts,graze,4 x 30 g,France,2024-07-20,14.0,July,2024
REC-151525,5140,Megachok,arluy,500g,France,2024-05-28,18.21,May,2024
REC-217744,7396,Cranberry saveur amande,Gerbl,132 g (4 × 3 biscuits,France,2025-05-12,9.15,May,2025
REC-737686,10860,"Biscuits 3 graines Kasha, Sésame, Pavot",Notknown,"132 g, 4 sachets de 3 biscuits",France,2024-08-01,21.57,August,2024
REC-310932,14834,Chocolat noir 85% Madagascar,Ethiquable,100 g,France,2025-04-19,7.05,April,2025
REC-343699,13161,Véritable petit beurre,LU Mondelez Mondelez international,200 g e,France,2024-07-26,19.29,July,2024
REC-499216,11117,TEXAS BBQ SAUCE,PRINGLES,Subjective,Belgium,2024-03-02,3.96,March,2024
REC-117524,5039,Extrem,Excelo,Subjective,Morocco,2025-10-18,23.56,October,2025
REC-799646,10029,Sablés chocolat,McVities,300 g,France,2025-04-07,1.73,April,2025
REC-734503,14206,Kinder Bueno,Kinder,43g,Algeria,2024-12-31,10.66,December,2024
REC-426267,11642,Wheat Biscuits,By Sainsburys,Subjective,United Kingdom,2024-04-21,23.04,April,2024
REC-616790,14425,Shortbread Fingers,Walkers,160g,United Kingdom,2025-09-16,1.6,September,2025
REC-519560,7176,Chips saveur fromage du Jura,Brets,125 g,France,2024-10-24,21.83,October,2024
REC-255749,14155,cooky original chocolate chips,Be,Subjective,Morocco,2025-03-12,14.76,March,2025
REC-335372,13315,Fine Milled Oatcakes,Nairns,218 g,France,2024-12-20,4.83,December,2024
REC-824167,8454,Chips de lentilles saveur tomate mozza,Notknown,85 g,France,2025-11-14,7.7,November,2025
REC-892701,8042,Fruit & Seed Oatcakes,Nairns,Subjective,France,2024-11-27,3.52,November,2024
REC-109243,7429,Milka oreo,Milka Oreo,25g,France,2025-06-08,2.72,June,2025
REC-222245,8897,Chocolate negro,Carrefour BIO Carrefour,100 g,Belgium,2025-03-28,9.67,March,2025
REC-603051,7517,Cocoa Orange,Nakd,35g,United Kingdom,2025-08-06,16.7,August,2025
REC-147698,13137,Savane,Brossard,310 g,France,2024-07-02,21.12,July,2024
REC-909087,14717,Nutabella,Notknown,900g,Morocco,2024-07-25,18.46,July,2024
REC-659364,13462,Absolute black dark chocolate,Montezumas,90 g,Spain,2025-03-30,7.04,March,2025
REC-431149,8527,eyoo,Excelo,Subjective,France,2025-05-05,19.74,May,2025
REC-194215,6870,Flash Wondermint Gum,Flash,5 pieces / 12g,France,2024-07-23,17.85,July,2024
REC-801190,13662,Biscuits Mega Duo imp,Gulln,500g,France,2025-12-15,7.25,December,2025
REC-531273,9147,cooky,be,100g,Morocco,2024-12-22,10.84,December,2024
REC-426965,14311,Dark Chocolate Chip Oat Biscuits,Nairns,200 g,France,2024-06-21,1.2,June,2024
REC-412341,14101,G LT NOISETTE COTE D OR,Cte dOr,180g,Algeria,2025-02-23,10.13,February,2025
REC-842128,14185,Dark Chocolate,TESCO finest,100g,United Kingdom,2025-05-06,12.39,May,2025
REC-513271,10123,Merci Finest Selection Assorted Chocolates,Storck,250g,Austria,2024-06-15,13.74,June,2024
REC-901924,5988,LOTUS BISCOFF Speculoos Original - 250g (2x125g,Lotus Bakeries Lotus,250 g,Belgium,2025-10-22,6.98,October,2025
REC-738096,8362,Noir 70% Intense,Notknown,100 g,Belgium,2025-02-21,23.87,February,2025
REC-554502,11920,Biscuits Germe de Blé et Pépites de Chocolat,LidlSondey,"200 g, 4 pochons de 5 biscuits",France,2024-03-16,4.49,March,2024
REC-415207,14283,Milka wholenut,Milka,Subjective,France,2025-04-14,2.02,April,2025
REC-932547,13331,nakd peanut butter protein bar,Nakd,3 x 45g,France,2024-05-02,16.1,May,2024
REC-225200,13078,Fine & Gourmande Noir,Fine gourmandePoulain,100 g,France,2025-08-05,17.64,August,2025
REC-700756,6550,Barre céréales Protéines peanut& chocolat,Nature Valley,160 g,Belgium,2025-05-22,3.22,May,2025
REC-104753,5467,Nature Valley Crunchy Oats & Honey,Nature Valley,Subjective,France,2025-01-01,13.98,January,2025
REC-563677,10401,B'ono Wafer,Excelo,ja,Morocco,2024-02-18,22.57,February,2024
REC-215776,13213,Cracotte Chocolat,LUMondelez,200 g,Belgium,2025-09-15,8.73,September,2025
REC-636347,13593,Tentation aiguebelle,Aiguebelle,Subjective,Morocco,2024-11-16,14.26,November,2024
REC-411150,6118,Nut & fruit mix classic,Alesto Lidl,200g,Bulgaria,2025-04-13,3.62,April,2025
REC-740006,14976,Baiocchi nocciola 260g,Barilla Mulino Bianco  Barilla  Barilla G e R Fratelli  Societ per Azioni  Via Mantova   Parma  Italy,260 g,France,2026-01-18,1.02,January,2026
REC-786767,11518,Table Water,Carrs,125g,France,2025-03-02,4.99,March,2025
REC-546635,8778,Biscoff,Notknown,250g,Armenia,2025-09-16,11.99,September,2025
REC-140146,5570,B-ready 6 pièces,Ferrero,132 g,Belgium,2025-01-10,10.97,January,2025
REC-594620,8463,Cheese & Onion Flavour Potato Crisps,Walkers,25 g,United Kingdom,2025-05-19,7.05,May,2025
REC-116922,7404,Pim's Sinaasappel,LU,150 g e  [12 biscuits],Belgium,2025-05-03,17.63,May,2025
REC-307325,5909,Dark Chocolate Nuts & Sea Salt Bars,KIND,3 x 30g = 90g,United Kingdom,2025-07-27,19.81,July,2025
REC-147375,13240,Noir intense dessert,Lindt,200 g,France,2026-01-27,5.7,January,2026
REC-255248,6169,Biscuits Soja Figue,Gerbl,270 g,Belgium,2024-10-30,5.23,October,2024
REC-477166,11681,CREAM CRACKERS,Tesco,300 g,France,2024-09-01,15.59,September,2024
REC-984645,13750,Le petit Gerblé nature,gerbl,200g,France,2024-11-20,11.76,November,2024
REC-637099,10108,Bastogne,LU Mondelez,260 g ℮,France,2024-04-02,24.22,April,2024
REC-872243,7122,G FERRERO ROCHER TABLETTE LT,Ferrero Rocher,90g,Belgium,2025-05-18,20.01,May,2025
REC-256797,10421,"Chocolate Bar, snickers",SNICKERS Mars,Subjective,Bulgaria,2025-04-17,18.94,April,2025
REC-163360,12757,Twix Twin,Mars Wrigley,50g,Belgium,2024-08-28,2.23,August,2024
REC-919628,7157,Cookie Chocolat saveur noisette Sans sucres,Gerbl,130 gr,France,2024-11-07,16.9,November,2024
REC-653547,11328,NAPOLITAIN,Aiguebelle,4 grs,Morocco,2024-06-07,2.74,June,2024
REC-124019,10597,Biscuit chocolat saveur amande,Gerbl,200 g,France,2024-08-31,12.36,August,2024
REC-234442,14276,sablé sésame saveur vanille - Gerblé sans sucres,Gerbl,132g,France,2025-08-21,4.09,August,2025
REC-224813,11208,"Gerblé - Sablés sans sucres saveur citron et Yuzu, 132g (4.7oz",Notknown,"132 g, 3 sachets de 4 biscuits",Belgium,2024-11-17,23.59,November,2024
REC-886778,8143,Ferrero Rocher x,Ferrero,200g,Denmark,2024-09-12,13.75,September,2024
REC-222243,8407,Fakiat Barbeque,leader food,18g,France,2025-09-15,5.96,September,2025
REC-565596,12121,Sea Salt & Balsamic Vinegar Crisps,Kettle,130g,Ireland,2024-03-27,4.56,March,2024
REC-468646,11217,Excellence Noir Orange Intense,Lindt,100 g,Canada,2025-08-19,22.06,August,2025
REC-706461,6671,Crousti'Son Miel Sésame,Gerbl,200 g,France,2025-03-29,21.38,March,2025
REC-541786,12292,Kinder Délice 10-pack,KinderFerrero,390g,France,2026-02-04,18.76,February,2026
REC-705116,8552,Fourrés chocolat lait noisettes,Bjorg,Subjective,France,2026-01-15,3.34,January,2026
REC-618179,7791,Tartines craquantes au sarrasin,Notknown,Subjective,Belgium,2024-09-15,15.46,September,2024
REC-805713,7030,Hohos,Notknown,Subjective,Mexico,2026-01-04,10.24,January,2026
REC-787344,8824,Lemon Blueberry Oat Boosts,graze,4 x 30g,United Kingdom,2025-08-19,6.98,August,2025
REC-452636,5813,Bimo,Merendina,36 g,Morocco,2025-03-02,12.78,March,2025
REC-388435,6058,Oreo original,Mondelez,Subjective,Morocco,2024-07-23,16.2,July,2024
REC-410200,11324,Malt Loaf,Soreen,Subjective,France,2025-04-06,18.84,April,2025
REC-431929,10622,kinder chocolate,Kinder,50g,Algeria,2024-05-25,14.96,May,2024
REC-595599,14494,Whole Nut Milk Chocolate,Fin Carr,Subjective,Bulgaria,2025-05-22,17.98,May,2025
REC-420462,11667,Cuor di Cereale,Galletas Gullon,300 g,Bulgaria,2025-01-03,12.52,January,2025
REC-276469,9429,Milk Chocolate,Tonys Chocolonely,180g,United Kingdom,2024-09-26,1.92,September,2024
REC-278242,14213,Sablé Nature sans sucres,Gerbl,132g,France,2025-02-28,20.37,February,2025
REC-304978,5948,Break Chocolate Fingers,BreakTiffany,31 g,Lebanon,2024-11-29,15.29,November,2024
REC-938382,10480,Gifflar Cannelle,PgenGifflar,260 g,France,2026-02-03,23.2,February,2026
REC-668825,9445,Veg crisps,TYRRELLS,125 gr,France,2025-10-29,10.65,October,2025
REC-714142,7706,top cookies original,Excelo,32 g,Morocco,2024-06-04,3.0,June,2024
REC-155683,14201,Tartines craquantes Froment,Matre Jean Pierre,250 gram,Belgium,2025-12-07,16.14,December,2025
REC-614633,11197,cacao noir,Carrefour,80 g,France,2025-03-30,4.16,March,2025
REC-810541,10650,Peanut Delight,nkd,4 x 35g,United Kingdom,2024-03-11,14.72,March,2024
REC-891439,8216,Kinder Kinderini,Ferrero,250 g,France,2026-01-02,7.97,January,2026
REC-828436,12339,Buscalios,Risi,35g,France,2025-10-13,22.21,October,2025
